bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
AMSI 2003-11	AMQ3A	1	ATU	10
AMSI 2003-11	AMQ3A	2	ATV	12
AMSI 2003-11	AMQ3A	3	ATW	15
AMSI 2003-13	AMQ3C	1	A10	7
AMSI 2003-13	AMQ3C	2	A11	7
AMSI 2003-13	AMQ3C	3	A12	12
AMSI 2003-2	AMQ32	0	ARU	5
AMSI 2003-3	AMQ33	0		8
AMSI 2003-4	AMQ34	0		6
AMSI 2003-5	AMQ35	0	ASW	10
AMSI 2003-6	AMQ36	1	ASX	7
AMSI 2003-6	AMQ36	2	ASY	7
AMSI 2003-6	AMQ36	3	ASZ	7
AMSI 2003-6	AMQ36	4	AT0	10
AMSI 2003-7	AMQ37	0	ATK	6
AMSI 2003-8	AMQ38	1	ATL	10
AMSI 2003-8	AMQ38	2	ATM	13
AMSI 2003-8	AMQ38	3	ATN	8
AMSI 2003-9	AMQ39	1	ATO	8
AMSI 2003-9	AMQ39	2	ATP	7
AMSI 2003-9	AMQ39	3	ATQ	9
AMSI 2003-AR1	A3AR1	1	ARY	5
AMSI 2003-AR1	A3AR1	2	ARZ	5
AMSI 2003-AR2	A3AR2	1	AUD	5
AMSI 2003-AR2	A3AR2	2	AUE	6
AMSI 2003-AR2	A3AR2	3	AUF	5
AMSI 2003-AR3	A3AR3	1	ATI	7
AMSI 2003-AR3	A3AR3	2	ATJ	7
AMSI 2003-IA1	A3AI1	0	AUG	11
AMSI 2004-FR1	A4F01	0	AUZ	16
AMSI 2004-IA1	A4IA1	0	AKA	12
AMSI 2004-R1	A4R01	1	AUH	12
AMSI 2004-R1	A4R01	2	AUI	11
AMSI 2004-R10	A4R10	1	A21	11
AMSI 2004-R10	A4R10	2	A22	14
AMSI 2004-R11	A4R11	1	A25	11
AMSI 2004-R11	A4R11	2	A26	11
AMSI 2004-R2	A4R02	1	AU3	11
AMSI 2004-R2	A4R02	2	AU4	12
AMSI 2004-R3	A4R03	1	AVJ	9
AMSI 2004-R3	A4R03	2	AVK	10
AMSI 2004-R4	A4R04	1	AVS	9
AMSI 2004-R4	A4R04	2	AVT	10
AMSI 2004-R5	A4R05	1	AVU	9
AMSI 2004-R5	A4R05	2	AVV	10
AMSI 2004-R6	A4R06	1	AVW	6
